iter	Passed	Remaining
0	1002	500434
1	1679	418274
2	2490	412540
3	3212	398316
4	3884	384574
5	4582	377309
6	5254	370068
7	5907	363332
8	6551	357409
9	7207	353147
10	7410	329408
11	8058	327732
12	8864	332079
13	9647	334902
14	10375	335484
15	11155	337462
16	11972	340164
17	12622	337995
18	13302	336751
19	13997	335942
20	14716	335676
21	15444	335572
22	16098	333865
23	16763	332475
24	17414	330876
25	18063	329315
26	18709	327756
27	19361	326387
28	20028	325283
29	20735	324855
30	21432	324248
31	22162	324121
32	22830	323080
33	23506	322180
34	24161	321004
35	24902	320968
36	25567	319940
37	26216	318742
38	27032	319532
39	27707	318639
40	28463	318655
41	29252	318989
42	30276	321774
43	31151	322840
44	32164	325215
45	32955	325260
46	33699	324807
47	34644	326235
48	35503	326779
49	36198	325790
50	36845	324388
51	37510	323168
52	38327	323255
53	39071	322700
54	39748	321598
55	40641	322232
56	41408	321825
57	41903	319334
58	42513	317770
59	43197	316784
60	43937	316208
61	44619	315211
62	45266	313993
63	45965	313143
64	46676	312374
65	47721	313802
66	48468	313233
67	49267	312995
68	50449	315128
69	50960	313041
70	51651	312091
71	52428	311659
72	53163	310972
73	53833	309907
74	54588	309333
75	55293	308482
76	55970	307472
77	56628	306372
78	57185	304749
79	57800	303451
80	58329	301727
81	58726	299359
82	59437	298621
83	60158	297930
84	60887	297273
85	61564	296367
86	62225	295391
87	62897	294476
88	63388	292728
89	64051	291788
90	64700	290795
91	65409	290076
92	66224	289820
93	67021	289476
94	67756	288856
95	68409	287887
96	68424	284280
97	68441	280751
98	68875	278978
99	68893	275574
100	68954	272403
101	69641	271738
102	70293	270935
103	70937	270109
104	71539	269123
105	72186	268316
106	72828	267492
107	73236	265823
108	74068	265695
109	74893	265529
110	75872	265895
111	76564	265241
112	77308	264765
113	77970	264005
114	77998	261126
115	78703	260536
116	79518	260302
117	80321	260023
118	81179	259910
119	82064	259869
120	82824	259426
121	83566	258919
122	83992	257439
123	84808	257160
124	85256	255768
125	85693	254358
126	86338	253577
127	87058	253012
128	87781	252456
129	88358	251482
130	88850	250272
131	89358	249120
132	90043	248464
133	90836	248106
134	91302	246854
135	92062	246403
136	92714	245660
137	93531	245349
138	94257	244798
139	95004	244297
140	95685	243625
141	96355	242924
142	97256	242801
143	97824	241844
144	98465	241069
145	98966	239960
146	99635	239260
147	100378	238738
148	101132	238238
149	101885	237733
150	102745	237471
151	103508	236980
152	104187	236295
153	104883	235646
154	105308	234395
155	105822	233351
156	106233	232089
157	106706	230971
158	107186	229877
159	107567	228581
160	108260	227953
161	109008	227436
162	109863	227140
163	110656	226711
164	111494	226367
165	112357	226068
166	113268	225858
167	113792	224875
168	114334	223933
169	114772	222792
170	115205	221652
171	115822	220869
172	116773	220721
173	117372	219905
174	117955	219060
175	118588	218310
176	119074	217294
177	119602	216360
178	120128	215425
179	120709	214594
180	121296	213776
181	122171	213465
182	122962	213000
183	123562	212204
184	123975	211093
185	124531	210231
186	125294	209716
187	125853	208863
188	126286	207804
189	126728	206767
190	127241	205852
191	127704	204859
192	128161	203863
193	128779	203126
194	129527	202594
195	130130	201834
196	130852	201260
197	131994	201324
198	133336	201679
199	134230	201345
200	134873	200633
201	135398	199746
202	135996	198970
203	136953	198716
204	138062	198675
205	138822	198124
206	139934	198072
207	140789	197647
208	141617	197180
209	142353	196582
210	143227	196173
211	143927	195524
212	144422	194597
213	145122	193948
214	145733	193182
215	146485	192601
216	147364	192184
217	148061	191529
218	149034	191226
219	149587	190383
220	150138	189540
221	150730	188752
222	151632	188350
223	152600	188025
224	153362	187443
225	154070	186793
226	154817	186190
227	155552	185570
228	156294	184960
229	156958	184255
230	157505	183415
231	158287	182849
232	158972	182169
233	159684	181522
234	160131	180573
235	160581	179633
236	161115	178790
237	161686	177991
238	162145	177070
239	162700	176259
240	163119	175302
241	163647	174466
242	164242	173705
243	165149	173271
244	166011	172787
245	166663	172083
246	167523	171592
247	168119	170830
248	168815	170171
249	169252	169252
250	169729	168376
251	170185	167483
252	170643	166597
253	171347	165950
254	172028	165282
255	172616	164525
256	173121	163691
257	173803	163025
258	174299	162185
259	175009	161547
260	175667	160859
261	176344	160190
262	177071	159566
263	177748	158896
264	178419	158221
265	179099	157553
266	179765	156873
267	180425	156189
268	181079	155499
269	181501	154612
270	181935	153738
271	182343	152847
272	182777	151979
273	183204	151109
274	183729	150324
275	184319	149592
276	184987	148925
277	185661	148262
278	186333	147597
279	187013	146939
280	187393	146047
281	187810	145186
282	188197	144306
283	188813	143604
284	189337	142833
285	189788	142009
286	190277	141216
287	190748	140412
288	191201	139597
289	191658	138787
290	192140	137997
