element,osmid,leisure,sport,covered,int_name,name,name:sr,name:sr-Latn,addr:floor,length,location,swimming_pool,access,start_date,source,description,lit,operator,content,type,candidate_source,index,area,name:en,website,amenity,bath:open_air,bath:sand_bath,fee,wikipedia,wikidata,bath:type,shower,alt_name,contact:instagram,opening_hours,phone,addr:place,addr:postcode,designation,addr:city,addr:housenumber,addr:street,check_date,wheelchair,operator:type,name:ru,alt_name:sr,alt_name:sr-Latn,email,level,addr:suburb,building,building:levels,ref:RS:kucni_broj,barrier,old_name,old_name:en,old_name:sr,old_name:sr-Latn,wikimedia_commons,year_of_construction,internet_access,roof:direction,roof:shape,layer,contact:facebook,contact:twitter,surface,old_addr:housenumber,old_addr:street,nohousenumber,fax,man_made,outdoor,tower:type,climbing:boulder,contact:phone,shooting,addr:housename,image,name:de,note,club,outdoor_seating,rental,mobile,fitness_station,entrance,addr:pak,addr:country,contact:website,personal_trainer,sauna,check_date:opening_hours,addr:level,contact:linkedin,contact:youtube,internet_access:fee,payment:cash,payment:credit_cards,payment:debit_cards,payment:cards,index_right,venue_type,venue_name,venue_dist_m,is_municipal,name_normalized,access_value,exclude_private_access,pool_type,geometry_orig_wkt,lon,lat
node,2432305487.0,swimming_pool,swimming,yes,RZS Zatvoreni Bazen,РЗС Затворени Базен,РЗС Затворени Базен,RZS Zatvoreni Bazen,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.0,sports_centre,Дом спортова,28.722243721669884,False,rzs zatvoreni bazen,,False,sports_centre,POINT (20.428444 44.764569),20.4284442,44.7645686
node,2510651164.0,swimming_pool,swimming,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,hotel,Селтерс,55.055936623111464,False,,,False,hotel,POINT (20.687855 44.42842),20.6878553,44.428419700000006
node,2510651169.0,swimming_pool,swimming,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.0,sports_centre,Спортски центар Младеновац,46.49537028088462,True,,,False,sports_centre,POINT (20.701835 44.441313),20.701835,44.441313
node,2515045207.0,swimming_pool,swimming,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,POINT (20.662276 44.427426),20.6622759,44.42742570000001
node,3662124044.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,POINT (20.415 44.571129),20.4149998,44.57112939999999
node,12691749111.0,swimming_pool,,,,Aqua Termal Club,,,2,16,indoor,kids,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,aqua termal club,,False,,POINT (20.401016 44.812019),20.4010162,44.812019199999995
relation,11722257.0,swimming_pool,,,,,,,,,,,,,osm,,,,,multipolygon,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.515569 44.537588, 20.515576 44.537623, 20.515684 44.537612, 20.515682 44.537604, 20.515687 44.537604, 20.515691 44.537602, 20.515695 44.5376, 20.515697 44.537597, 20.515698 44.537593, 20.515697 44.53759, 20.515695 44.537587, 20.515692 44.537585, 20.515688 44.537583, 20.515683 44.537583, 20.515678 44.537583, 20.515677 44.537577, 20.515569 44.537588))",20.51563239565527,44.5376009
way,39257702.0,swimming_pool,swimming,no,Olimpijski,Олимпијски,Олимпијски,Olimpijski,,,outdoor,,customers,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,olimpijski,customers,False,,"POLYGON ((20.42417 44.764254, 20.424177 44.76444, 20.42355 44.764452, 20.423542 44.764266, 20.42417 44.764254))",20.4238597,44.76435274999999
way,39257703.0,swimming_pool,swimming,no,Osmica,Осмица,Осмица,Osmica,,,outdoor,,customers,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.0,sports_centre,Отворено пливалиште Кошутњак,46.26989638978857,True,osmica,customers,False,sports_centre,"POLYGON ((20.422128 44.765093, 20.422156 44.765098, 20.422186 44.765095, 20.422228 44.765087, 20.42227 44.765068, 20.422304 44.76504, 20.422351 44.765009, 20.422404 44.76499, 20.422615 44.764992, 20.422635 44.764987, 20.422655 44.76498, 20.42268 44.76494, 20.4227 44.764875, 20.422702 44.76483, 20.422696 44.764786, 20.422678 44.764719, 20.422653 44.764704, 20.42262 44.764697, 20.422517 44.76469, 20.42245 44.764694, 20.422418 44.764703, 20.422385 44.764736, 20.422296 44.764841, 20.422252 44.764853, 20.422189 44.764875, 20.42214 44.764875, 20.422091 44.764888, 20.422052 44.764911, 20.422027 44.764939, 20.422011 44.764977, 20.422019 44.765031, 20.422046 44.765055, 20.42208 44.765053, 20.422099 44.765059, 20.422122 44.765068, 20.422128 44.765093))",20.422381902461538,44.7648991
way,168043353.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.401914 44.787541, 20.401987 44.787558, 20.401995 44.78754, 20.402004 44.78752, 20.401931 44.787504, 20.401914 44.787541))",20.401959072393048,44.78753025000001
