IDIndikator;Indikator;IDTer;nTer;God+Mes;nVrTacka;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
2403040103IND01;Average net earnings;RS;REPUBLIC OF SERBIA;202412;2024/december;108312;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS;REPUBLIC OF SERBIA;202501;2025/january;107476;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS;REPUBLIC OF SERBIA;202502;2025/february;103519;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS;REPUBLIC OF SERBIA;202503;2025/march;108013;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS;REPUBLIC OF SERBIA;202504;2025/april;109272;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS;REPUBLIC OF SERBIA;202505;2025/may;107705;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS;REPUBLIC OF SERBIA;202506;2025/june;107075;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS;REPUBLIC OF SERBIA;202507;2025/july;109071;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS;REPUBLIC OF SERBIA;202508;2025/august;105590;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS;REPUBLIC OF SERBIA;202509;2025/september;109147;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS;REPUBLIC OF SERBIA;202510;2025/october;110670;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS;REPUBLIC OF SERBIA;202511;2025/november;111987;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS1;SRBIJA – SEVER;202412;2024/december;122164;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS1;SRBIJA – SEVER;202501;2025/january;119120;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS1;SRBIJA – SEVER;202502;2025/february;115019;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS1;SRBIJA – SEVER;202503;2025/march;121192;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS1;SRBIJA – SEVER;202504;2025/april;121689;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS1;SRBIJA – SEVER;202505;2025/may;118730;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS1;SRBIJA – SEVER;202506;2025/june;118855;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS1;SRBIJA – SEVER;202507;2025/july;120988;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS1;SRBIJA – SEVER;202508;2025/august;117017;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;RS1;SRBIJA – SEVER;202509;2025/september;121044;A;Normal value;F;Free (free for publication);RSD;RSD
